ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Latitude,Longitude,Price
Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",Coffs Harbour,2450,Coles Express,DL,2025-08-05 05:20:39,-30.286083,153.124146,1754371239000000000
Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",Coffs Harbour,2450,Coles Express,E10,2025-12-04 06:15:45,-30.286083,153.124146,1764828945000000000
Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",Coffs Harbour,2450,Coles Express,P98,2025-12-04 06:15:45,-30.286083,153.124146,1764828945000000000
Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",Coffs Harbour,2450,Coles Express,U91,2025-12-04 06:15:45,-30.286083,153.124146,1764828945000000000
Shell Reddy  Express Glendale,"593 Main Rd, Glendale NSW 2285",Glendale,2285,Reddy Express,DL,2025-08-05 05:00:54,-32.927065,151.637938,1754370054000000000
Shell Reddy  Express Glendale,"593 Main Rd, Glendale NSW 2285",Glendale,2285,Reddy Express,E10,2025-07-05 07:15:45,-32.927065,151.637938,1751699745000000000
Shell Reddy  Express Glendale,"593 Main Rd, Glendale NSW 2285",Glendale,2285,Reddy Express,P95,2025-07-05 07:15:45,-32.927065,151.637938,1751699745000000000
Shell Reddy  Express Glendale,"593 Main Rd, Glendale NSW 2285",Glendale,2285,Reddy Express,P98,2025-07-05 07:15:45,-32.927065,151.637938,1751699745000000000
Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",Oyster Bay,2225,Coles Express,E10,2025-10-05 01:45:46,-34.00934,151.07548,1759628746000000000
Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",Oyster Bay,2225,Coles Express,P95,2025-10-05 01:45:46,-34.00934,151.07548,1759628746000000000
Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",Oyster Bay,2225,Coles Express,P98,2025-10-05 01:45:46,-34.00934,151.07548,1759628746000000000
Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",Oyster Bay,2225,Coles Express,PDL,2025-07-05 02:35:37,-34.00934,151.07548,1751682937000000000
Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",Oyster Bay,2225,Coles Express,U91,2025-10-05 01:45:46,-34.00934,151.07548,1759628746000000000
Coles Express Tamworth,"251-253 Goonoo Goonoo Rd, Tamworth NSW 2340",Tamworth,2340,Coles Express,DL,2025-08-05 05:45:47,-31.111899,150.922823,1754372747000000000
Coles Express Tamworth,"251-253 Goonoo Goonoo Rd, Tamworth NSW 2340",Tamworth,2340,Coles Express,P95,2025-09-05 03:15:48,-31.111899,150.922823,1757042148000000000
Coles Express Tamworth,"251-253 Goonoo Goonoo Rd, Tamworth NSW 2340",Tamworth,2340,Coles Express,P98,2025-09-05 03:15:48,-31.111899,150.922823,1757042148000000000
Coles Express Tamworth,"251-253 Goonoo Goonoo Rd, Tamworth NSW 2340",Tamworth,2340,Coles Express,U91,2025-09-05 03:15:48,-31.111899,150.922823,1757042148000000000
Shell Reddy Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",Bulli,2516,Reddy Express,DL,2025-08-05 04:35:40,-34.336559,150.912153,1754368540000000000
Shell Reddy Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",Bulli,2516,Reddy Express,E10,2025-12-04 03:15:50,-34.336559,150.912153,1764818150000000000
Shell Reddy Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",Bulli,2516,Reddy Express,P95,2025-12-04 03:15:50,-34.336559,150.912153,1764818150000000000
Shell Reddy Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",Bulli,2516,Reddy Express,P98,2025-12-04 03:15:50,-34.336559,150.912153,1764818150000000000
Shell Reddy Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",Bulli,2516,Reddy Express,U91,2025-12-04 03:15:50,-34.336559,150.912153,1764818150000000000
Coles Express Mudgee,"47 Church St (Cnr Mortimer St), Mudgee NSW 2850",Mudgee,2850,Coles Express,DL,2025-09-05 03:15:48,-32.593538,149.588282,1757042148000000000
Coles Express Tamworth West,"147-149 Bridge St, Tamworth West NSW 2340",Tamworth West,2340,Coles Express,DL,2025-08-05 05:50:41,-31.094987,150.911999,1754373041000000000
Coles Express Tamworth West,"147-149 Bridge St, Tamworth West NSW 2340",Tamworth West,2340,Coles Express,E10,2025-08-05 05:50:41,-31.094987,150.911999,1754373041000000000
Coles Express Tamworth West,"147-149 Bridge St, Tamworth West NSW 2340",Tamworth West,2340,Coles Express,P95,2025-08-05 05:50:41,-31.094987,150.911999,1754373041000000000
Coles Express Tamworth West,"147-149 Bridge St, Tamworth West NSW 2340",Tamworth West,2340,Coles Express,P98,2025-08-05 05:50:41,-31.094987,150.911999,1754373041000000000
Coles Express Tamworth West,"147-149 Bridge St, Tamworth West NSW 2340",Tamworth West,2340,Coles Express,U91,2025-08-05 05:50:41,-31.094987,150.911999,1754373041000000000
Coles Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",Port Macquarie,2444,Coles Express,DL,2025-08-05 05:15:45,-31.434366,152.904685,1754370945000000000
Coles Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",Port Macquarie,2444,Coles Express,E10,2025-08-05 07:15:47,-31.434366,152.904685,1754378147000000000
Coles Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",Port Macquarie,2444,Coles Express,P95,2025-08-05 07:15:47,-31.434366,152.904685,1754378147000000000
Coles Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",Port Macquarie,2444,Coles Express,P98,2025-08-05 07:15:47,-31.434366,152.904685,1754378147000000000
Coles Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",Port Macquarie,2444,Coles Express,U91,2025-08-05 07:15:47,-31.434366,152.904685,1754378147000000000
Shell Reddy Express Corrimal,"269-275 Princes Highway, Corrimal NSW 2518",Corrimal,2518,Reddy Express,DL,2025-08-05 04:35:40,-34.374407,150.896376,1754368540000000000
Shell Reddy Express Corrimal,"269-275 Princes Highway, Corrimal NSW 2518",Corrimal,2518,Reddy Express,E10,2025-06-05 07:30:45,-34.374407,150.896376,1749108645000000000
Shell Reddy Express Corrimal,"269-275 Princes Highway, Corrimal NSW 2518",Corrimal,2518,Reddy Express,P95,2025-12-04 05:30:46,-34.374407,150.896376,1764826246000000000
Shell Reddy Express Corrimal,"269-275 Princes Highway, Corrimal NSW 2518",Corrimal,2518,Reddy Express,P98,2025-12-04 05:30:46,-34.374407,150.896376,1764826246000000000
Shell Reddy Express Corrimal,"269-275 Princes Highway, Corrimal NSW 2518",Corrimal,2518,Reddy Express,U91,2025-12-04 05:30:46,-34.374407,150.896376,1764826246000000000
Shell Reddy Express Lansvale,"65-99 Hume Highway, Canley Vale NSW 2166",Canley Vale,2166,Reddy Express,DL,2025-07-05 04:00:44,-33.893006,150.960593,1751688044000000000
Shell Reddy Express Lansvale,"65-99 Hume Highway, Canley Vale NSW 2166",Canley Vale,2166,Reddy Express,E10,2025-09-05 01:50:38,-33.893006,150.960593,1757037038000000000
Shell Reddy Express Lansvale,"65-99 Hume Highway, Canley Vale NSW 2166",Canley Vale,2166,Reddy Express,P98,2025-09-05 01:50:38,-33.893006,150.960593,1757037038000000000
Coles Express Wyalong,"Mid Western Hwy & Nicholson Lane, Wyalong NSW 2671",Wyalong,2671,Coles Express,DL,2025-08-05 05:45:47,-33.925413,147.256084,1754372747000000000
Coles Express Wyalong,"Mid Western Hwy & Nicholson Lane, Wyalong NSW 2671",Wyalong,2671,Coles Express,E10,2025-12-04 03:05:39,-33.925413,147.256084,1764817539000000000
Coles Express Wyalong,"Mid Western Hwy & Nicholson Lane, Wyalong NSW 2671",Wyalong,2671,Coles Express,P98,2025-12-04 03:05:39,-33.925413,147.256084,1764817539000000000
Coles Express Wyalong,"Mid Western Hwy & Nicholson Lane, Wyalong NSW 2671",Wyalong,2671,Coles Express,U91,2025-12-04 03:05:39,-33.925413,147.256084,1764817539000000000
Shell Reddy Express  Taren Point,"99 Parraweena Rd (Cnr Taren Point Rd), Miranda NSW 2228",Miranda,2228,Reddy Express,DL,2025-07-05 02:35:37,-34.026377,151.120108,1751682937000000000
Shell Reddy Express  Taren Point,"99 Parraweena Rd (Cnr Taren Point Rd), Miranda NSW 2228",Miranda,2228,Reddy Express,E10,2025-10-05 01:45:46,-34.026377,151.120108,1759628746000000000
Shell Reddy Express  Taren Point,"99 Parraweena Rd (Cnr Taren Point Rd), Miranda NSW 2228",Miranda,2228,Reddy Express,P95,2025-10-05 01:45:46,-34.026377,151.120108,1759628746000000000
Shell Reddy Express  Taren Point,"99 Parraweena Rd (Cnr Taren Point Rd), Miranda NSW 2228",Miranda,2228,Reddy Express,P98,2025-10-05 01:45:46,-34.026377,151.120108,1759628746000000000
Shell Reddy Express  Taren Point,"99 Parraweena Rd (Cnr Taren Point Rd), Miranda NSW 2228",Miranda,2228,Reddy Express,PDL,2025-07-05 02:35:37,-34.026377,151.120108,1751682937000000000
Shell Reddy Express  Taren Point,"99 Parraweena Rd (Cnr Taren Point Rd), Miranda NSW 2228",Miranda,2228,Reddy Express,U91,2025-10-05 01:45:46,-34.026377,151.120108,1759628746000000000
BP Cronulla,"Cnr Wilbur & Kingsway Streets, Cronulla NSW 2230",Cronulla,2230,Bp,P95,2025-09-05 06:16:10,-34.050956,151.150759,1757052970000000000
BP Cronulla,"Cnr Wilbur & Kingsway Streets, Cronulla NSW 2230",Cronulla,2230,Bp,P98,2025-09-05 06:16:10,-34.050956,151.150759,1757052970000000000
BP Cronulla,"Cnr Wilbur & Kingsway Streets, Cronulla NSW 2230",Cronulla,2230,Bp,PDL,2025-09-05 06:16:10,-34.050956,151.150759,1757052970000000000
BP Cronulla,"Cnr Wilbur & Kingsway Streets, Cronulla NSW 2230",Cronulla,2230,Bp,U91,2025-09-05 06:16:10,-34.050956,151.150759,1757052970000000000
BP Eagle Vale,"Cnr Eagle Vale Dve & Gould Rd, Eagle Vale NSW 2558",Eagle Vale,2558,Bp,E10,2025-04-05 22:46:54,-34.031183,150.816282,1743893214000000000
BP Eagle Vale,"Cnr Eagle Vale Dve & Gould Rd, Eagle Vale NSW 2558",Eagle Vale,2558,Bp,P98,2025-04-05 22:46:54,-34.031183,150.816282,1743893214000000000
BP Eagle Vale,"Cnr Eagle Vale Dve & Gould Rd, Eagle Vale NSW 2558",Eagle Vale,2558,Bp,PDL,2025-08-05 00:54:36,-34.031183,150.816282,1754355276000000000
BP Eagle Vale,"Cnr Eagle Vale Dve & Gould Rd, Eagle Vale NSW 2558",Eagle Vale,2558,Bp,U91,2025-04-05 22:46:54,-34.031183,150.816282,1743893214000000000
BP Glendenning,"646 Richmond Rd, Glendenning NSW 2761",Glendenning,2761,Bp,P95,2025-09-05 06:24:50,-33.73762,150.853221,1757053490000000000
BP Glendenning,"646 Richmond Rd, Glendenning NSW 2761",Glendenning,2761,Bp,P98,2025-09-05 06:24:50,-33.73762,150.853221,1757053490000000000
BP Glendenning,"646 Richmond Rd, Glendenning NSW 2761",Glendenning,2761,Bp,PDL,2025-01-05 23:13:21,-33.73762,150.853221,1736118801000000000
