ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,Price,PriceUpdatedDate,Latitude,Longitude
Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",Coffs Harbour,2450,Coles Express,DL,184.9,19/05/2025 05:15:47,-30.286083,153.124146
Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",Coffs Harbour,2450,Coles Express,E10,178.9,12/04/2025 06:15:45,-30.286083,153.124146
Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",Coffs Harbour,2450,Coles Express,P95,195.9,20/04/2025 22:45:44,-30.286083,153.124146
Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",Coffs Harbour,2450,Coles Express,P98,203.9,12/04/2025 06:15:45,-30.286083,153.124146
Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",Coffs Harbour,2450,Coles Express,U91,180.9,12/04/2025 06:15:45,-30.286083,153.124146
Shell Reddy  Express Glendale,"593 Main Rd, Glendale NSW 2285",Glendale,2285,Reddy Express,DL,186.9,16/05/2025 03:15:47,-32.927065,151.637938
Shell Reddy  Express Glendale,"593 Main Rd, Glendale NSW 2285",Glendale,2285,Reddy Express,E10,171.9,18/05/2025 23:05:39,-32.927065,151.637938
Shell Reddy  Express Glendale,"593 Main Rd, Glendale NSW 2285",Glendale,2285,Reddy Express,P95,191.9,18/05/2025 23:05:39,-32.927065,151.637938
Shell Reddy  Express Glendale,"593 Main Rd, Glendale NSW 2285",Glendale,2285,Reddy Express,P98,199.9,18/05/2025 23:05:39,-32.927065,151.637938
Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",Oyster Bay,2225,Coles Express,E10,151.9,20/05/2025 00:05:39,-34.00934,151.07548
Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",Oyster Bay,2225,Coles Express,P95,170.9,20/05/2025 00:05:39,-34.00934,151.07548
